Zeit_s;Kraft_N;Weg_mm;Durchbiegung fm_mm;Biegespannung_MPa
4,440000;5,697225;0,040806;0,000000;2,033513
4,460000;5,723847;0,040996;0,000000;2,043015
4,480000;5,750470;0,041187;0,000000;2,052517
4,500000;5,777092;0,041378;0,000000;2,062020
4,520000;5,803715;0,041568;0,000000;2,071522
4,540000;5,830337;0,041759;0,000000;2,081025
4,560000;5,856960;0,041950;0,000000;2,090527
4,580000;5,883583;0,042141;0,000000;2,100029
4,600000;5,910205;0,042331;0,000000;2,109532
4,620000;5,936828;0,042522;0,000000;2,119034
4,640000;5,963450;0,042713;0,000000;2,128537
4,660000;5,990073;0,042903;0,000000;2,138039
4,680000;6,016695;0,043094;0,000000;2,147541
4,700000;6,043318;0,043285;0,000000;2,157044
4,720000;6,069940;0,043475;0,000000;2,166546
4,740000;6,096563;0,043666;0,000000;2,176049
4,760000;6,123185;0,043857;0,000000;2,185551
4,780000;6,149808;0,044047;0,000000;2,195053
4,800000;6,176431;0,044238;0,000000;2,204556
4,820000;6,203053;0,044429;0,000000;2,214058
4,840000;6,229676;0,044619;0,000000;2,223561
4,860000;6,256298;0,044810;0,000000;2,233063
4,880000;6,282921;0,045001;0,000000;2,242565
4,900000;6,309543;0,045191;0,000000;2,252068
4,920000;6,336166;0,045382;0,000000;2,261570
4,940000;6,362788;0,045573;0,000000;2,271073
4,960000;6,389411;0,045763;0,000000;2,280575
4,980000;6,416033;0,045954;0,000000;2,290077
5,000000;6,442656;0,046145;0,000000;2,299580
5,020000;6,469279;0,046335;0,000000;2,309082
5,040000;6,495901;0,046526;0,000000;2,318585
5,060000;6,522524;0,046717;0,000000;2,328087
5,080000;6,549146;0,046908;0,000000;2,337589
5,100000;6,575769;0,047098;0,000000;2,347092
5,120000;6,602391;0,047289;0,000000;2,356594
5,140000;6,629014;0,047480;0,000000;2,366097
5,160000;6,655636;0,047670;0,000000;2,375599
5,180000;6,682259;0,047861;0,000000;2,385101
5,200000;6,708881;0,048052;0,000000;2,394604
5,220000;6,735504;0,048242;0,000000;2,404106
5,240000;6,762127;0,048433;0,000000;2,413609
5,260000;6,788749;0,048624;0,000000;2,423111
5,280000;6,815372;0,048814;0,000000;2,432613
5,300000;6,841994;0,049005;0,000000;2,442116
5,320000;6,868617;0,049196;0,000000;2,451618
5,340000;6,895239;0,049386;0,000000;2,461121
5,360000;6,921862;0,049577;0,000000;2,470623
5,380000;6,948484;0,049768;0,000000;2,480125
5,400000;6,975107;0,049958;0,000000;2,489628
5,420000;7,001729;0,050149;0,000000;2,499130
5,440000;7,028352;0,050340;0,000000;2,508632
5,460000;7,054975;0,050530;0,000000;2,518135
5,480000;7,081597;0,050721;0,000000;2,527637
5,500000;7,108220;0,050912;0,000000;2,537140
5,520000;7,134842;0,051103;0,000000;2,546642
5,540000;7,161465;0,051293;0,000000;2,556144
5,560000;7,188087;0,051484;0,000000;2,565647
5,580000;7,214710;0,051675;0,000000;2,575149
5,600000;7,241332;0,051865;0,000000;2,584652
5,620000;7,267955;0,052056;0,000000;2,594154
5,640000;7,294577;0,052247;0,000000;2,603656
5,660000;7,321200;0,052437;0,000000;2,613159
5,680000;7,347823;0,052628;0,000000;2,622661
5,700000;7,374445;0,052819;0,000000;2,632164
5,720000;7,401068;0,053009;0,000000;2,641666
5,740000;7,427690;0,053200;0,000000;2,651168
5,760000;7,454313;0,053391;0,000000;2,660671
5,780000;7,480935;0,053581;0,000000;2,670173
5,800000;7,507558;0,053772;0,000000;2,679676
5,820000;7,534180;0,053963;0,000000;2,689178
5,840000;7,560803;0,054153;0,000000;2,698680
5,860000;7,587425;0,054344;0,000000;2,708183
5,880000;7,614048;0,054535;0,000000;2,717685
5,900000;7,640671;0,054725;0,000000;2,727188
5,920000;7,667293;0,054916;0,000000;2,736690
5,940000;7,693916;0,055107;0,000000;2,746192
5,960000;7,720538;0,055297;0,000000;2,755695
5,980000;7,747161;0,055488;0,000000;2,765197
6,000000;7,773783;0,055679;0,000000;2,774700
6,020000;7,800406;0,055870;0,000000;2,784202
6,040000;7,827028;0,056060;0,000000;2,793704
6,060000;7,853651;0,056251;0,000000;2,803207
6,080000;7,880273;0,056442;0,000000;2,812709
6,100000;7,906896;0,056632;0,000000;2,822212
6,120000;7,933519;0,056823;0,000000;2,831714
6,140000;7,960141;0,057014;0,000000;2,841216
6,160000;7,986764;0,057204;0,000000;2,850719
6,180000;8,013386;0,057395;0,000000;2,860221
6,200000;8,040009;0,057586;0,000000;2,869724
6,220000;8,066631;0,057776;0,000000;2,879226
6,240000;8,093254;0,057967;0,000000;2,888728
6,260000;8,119876;0,058158;0,000000;2,898231
6,280000;8,146499;0,058348;0,000000;2,907733
6,300000;8,173121;0,058539;0,000000;2,917236
6,320000;8,199744;0,058730;0,000000;2,926738
6,340000;8,226367;0,058920;0,000000;2,936240
6,360000;8,252989;0,059111;0,000000;2,945743
6,380000;8,279612;0,059302;0,000000;2,955245
6,400000;8,306234;0,059492;0,000000;2,964747
6,420000;8,332857;0,059683;0,000000;2,974250
6,440000;8,359479;0,059874;0,000000;2,983752
6,460000;8,386102;0,060065;0,000000;2,993255
6,480000;8,412724;0,060255;0,000000;3,002757
6,500000;8,439347;0,060446;0,000000;3,012259
6,520000;8,465969;0,060637;0,000000;3,021762
6,540000;8,492592;0,060827;0,000000;3,031264
6,560000;8,519215;0,061018;0,000000;3,040767
6,580000;8,545837;0,061209;0,000000;3,050269
6,600000;8,572460;0,061399;0,000000;3,059771
6,620000;8,599082;0,061590;0,000000;3,069274
6,640000;8,625705;0,061781;0,000000;3,078776
6,660000;8,652327;0,061971;0,000000;3,088279
6,680000;8,678950;0,062162;0,000000;3,097781
6,700000;8,705572;0,062353;0,000000;3,107283
6,720000;8,732195;0,062543;0,000000;3,116786
6,740000;8,758817;0,062734;0,000000;3,126288
6,760000;8,785440;0,062925;0,000000;3,135791
6,780000;8,812063;0,063115;0,000000;3,145293
6,800000;8,838685;0,063306;0,000000;3,154795
6,820000;8,865308;0,063497;0,000000;3,164298
6,840000;8,891930;0,063687;0,000000;3,173800
